tipo;arrival_time;memoria_pedida;processamento_pedido;tempo_pedido;n_servidores_low_mem(1000 - 3000);n_servidores_low_cpu(1000 - 3000);n_servidores_med_mem(3000 - 7000);n_servidores_med_cpu(3000 - 7000);n_servidores_high_mem(7000 - 10000);n_servidores_high_cpu(7000 - 10000); tempo_de_espera 
InAHurry;0;63;36;206;0;3;0;0;3;0;1237
InAHurry;0;78;24;156;0;3;0;0;3;0;1250
Cheap;0;57;72;193;0;3;0;0;3;0;1333
Smart;0;47;61;142;0;3;0;0;3;0;1250
Smart;0;39;87;255;0;3;0;0;3;0;1250
InAHurry;0;28;58;242;0;3;0;0;3;0;1259
InAHurry;0;46;81;213;0;3;0;0;3;0;1273
InAHurry;0;95;41;210;0;3;0;0;3;0;1273
Smart;0;46;33;177;0;3;0;0;3;0;1273
Cheap;0;38;40;258;0;3;0;0;3;0;1365
Cheap;0;65;72;156;0;3;0;0;3;0;1442
InAHurry;0;85;70;108;0;3;0;0;3;0;1291
Smart;0;69;58;209;0;3;0;0;3;0;1289
Smart;0;32;60;294;0;3;0;0;3;0;1318
InAHurry;0;97;42;138;0;3;0;0;3;0;1327
Smart;0;62;84;165;0;3;0;0;3;0;1399
InAHurry;0;20;99;136;0;3;0;0;3;0;1400
InAHurry;0;78;39;125;0;3;0;0;3;0;1399
Smart;0;74;60;220;0;3;0;0;3;0;1401
Smart;0;94;50;127;0;3;0;0;3;0;1428
InAHurry;0;53;61;299;0;3;0;0;3;0;1449
InAHurry;0;26;85;184;0;3;0;0;3;0;1453
Smart;0;51;37;285;0;3;0;0;3;0;1406
InAHurry;0;13;92;242;0;3;0;0;3;0;1458
InAHurry;0;21;97;106;0;3;0;0;3;0;1473
InAHurry;0;79;44;186;0;3;0;0;3;0;1473
InAHurry;0;72;29;152;0;3;0;0;3;0;1450
Cheap;0;32;89;101;0;3;0;0;3;0;1519
Smart;0;18;59;287;0;3;0;0;3;0;1481
Smart;0;17;53;209;0;3;0;0;3;0;1482
InAHurry;0;58;98;149;0;3;0;0;3;0;1505
Cheap;0;19;27;115;0;3;0;0;3;0;1526
InAHurry;0;14;19;293;0;3;0;0;3;0;1505
InAHurry;0;55;51;285;0;3;0;0;3;0;1519
Cheap;0;58;32;266;0;3;0;0;3;0;1555
InAHurry;0;42;42;277;0;3;0;0;3;0;1524
Cheap;0;78;51;110;0;3;0;0;3;0;1579
Cheap;0;57;86;153;0;3;0;0;3;0;1620
Smart;0;35;63;128;0;3;0;0;3;0;1538
Smart;0;86;14;284;0;3;0;0;3;0;1524
InAHurry;0;61;26;107;0;3;0;0;3;0;1564
InAHurry;0;16;53;139;0;3;0;0;3;0;1564
Cheap;0;54;98;128;0;3;0;0;3;0;1654
Smart;0;32;57;261;0;3;0;0;3;0;1598
Smart;0;52;75;179;0;3;0;0;3;0;1621
InAHurry;0;59;34;252;0;3;0;0;3;0;1623
InAHurry;0;27;46;285;0;3;0;0;3;0;1621
Cheap;0;63;34;218;0;3;0;0;3;0;1659
Smart;0;54;26;168;0;3;0;0;3;0;1637
Cheap;0;79;20;198;0;3;0;0;3;0;1671
InAHurry;0;28;25;137;0;3;0;0;3;0;1586
Smart;0;71;93;135;0;3;0;0;3;0;1629
Smart;0;93;43;292;0;3;0;0;3;0;1637
Smart;0;100;80;197;0;3;0;0;3;0;1666
Smart;0;51;93;289;0;3;0;0;3;0;1691
Cheap;0;83;35;212;0;3;0;0;3;0;1732
InAHurry;0;31;19;167;0;3;0;0;3;0;1629
Cheap;0;66;33;285;0;3;0;0;3;0;1779
Smart;0;20;20;134;0;3;0;0;3;0;1678
Smart;0;90;27;131;0;3;0;0;3;0;1678
Smart;0;34;50;228;0;3;0;0;3;0;1678
Cheap;0;67;30;195;0;3;0;0;3;0;1794
InAHurry;0;87;19;162;0;3;0;0;3;0;1714
Cheap;0;94;26;154;0;3;0;0;3;0;1795
InAHurry;0;79;83;119;0;3;0;0;3;0;1714
Smart;0;32;85;103;0;3;0;0;3;0;1730
Smart;0;17;38;169;0;3;0;0;3;0;1736
Cheap;0;10;28;276;0;3;0;0;3;0;1859
InAHurry;0;25;76;229;0;3;0;0;3;0;1764
InAHurry;0;21;26;185;0;3;0;0;3;0;1764
InAHurry;0;77;53;190;0;3;0;0;3;0;1809
InAHurry;0;82;94;241;0;3;0;0;3;0;1832
Smart;0;59;91;133;0;3;0;0;3;0;1833
