tipo;arrival_time;memoria_pedida;processamento_pedido;tempo_pedido;n_servidores_low_mem(1000 - 3000);n_servidores_low_cpu(1000 - 3000);n_servidores_med_mem(3000 - 7000);n_servidores_med_cpu(3000 - 7000);n_servidores_high_mem(7000 - 10000);n_servidores_high_cpu(7000 - 10000); tempo_de_espera 
0;0;302;615;916;1;1;1;1;1;1;492
1;0;327;337;311;1;1;1;1;1;1;492
1;0;190;285;823;1;1;1;1;1;1;477
0;0;306;274;251;1;1;1;1;1;1;584
1;0;522;152;958;1;1;1;1;1;1;584
0;0;900;496;463;1;1;1;1;1;1;621
1;0;415;857;670;1;1;1;1;1;1;652
0;0;312;866;566;1;1;1;1;1;1;468
1;0;846;104;460;1;1;1;1;1;1;652
0;0;906;356;124;1;1;1;1;1;1;750
1;0;704;896;880;1;1;1;1;1;1;793
0;0;288;516;807;1;1;1;1;1;1;750
0;0;920;773;177;1;1;1;1;1;1;776
1;0;790;188;158;1;1;1;1;1;1;793
2;0;785;239;142;1;1;1;1;1;1;2813
0;0;544;978;449;1;1;1;1;1;1;645
1;0;610;423;222;1;1;1;1;1;1;645
0;0;854;225;206;1;1;1;1;1;1;697
1;0;150;594;226;1;1;1;1;1;1;697
2;0;710;336;516;1;1;1;1;1;1;2955
0;0;365;227;679;1;1;1;1;1;1;690
2;0;759;205;272;1;1;1;1;1;1;3471
0;0;773;828;623;1;1;1;1;1;1;697
1;0;541;279;642;1;1;1;1;1;1;609
1;0;921;318;647;1;1;1;1;1;1;750
2;0;414;153;312;1;1;1;1;1;1;2657
1;0;613;381;531;1;1;1;1;1;1;674
0;0;630;574;237;1;1;1;1;1;1;697
2;0;678;172;620;1;1;1;1;1;1;2929
2;0;849;177;816;1;1;1;1;1;1;3549
1;0;486;824;621;1;1;1;1;1;1;670
0;0;210;586;715;1;1;1;1;1;1;697
1;0;568;848;271;1;1;1;1;1;1;750
2;0;862;171;826;1;1;1;1;1;1;4365
0;0;989;407;488;1;1;1;1;1;1;793
1;0;130;187;819;1;1;1;1;1;1;750
1;0;533;982;699;1;1;1;1;1;1;804
0;0;835;666;862;1;1;1;1;1;1;793
0;0;364;449;939;1;1;1;1;1;1;804
1;0;692;531;885;1;1;1;1;1;1;838
0;0;653;196;376;1;1;1;1;1;1;670
0;0;690;132;469;1;1;1;1;1;1;800
1;0;850;293;257;1;1;1;1;1;1;845
2;0;384;842;620;1;1;1;1;1;1;4365
1;0;291;841;933;1;1;1;1;1;1;856
1;0;396;949;762;1;1;1;1;1;1;873
1;0;958;138;545;1;1;1;1;1;1;800
2;0;456;945;851;1;1;1;1;1;1;4985
1;0;575;604;223;1;1;1;1;1;1;873
0;0;594;189;736;1;1;1;1;1;1;880
1;0;244;346;995;1;1;1;1;1;1;5191
0;0;793;896;308;1;1;1;1;1;1;916
1;0;853;911;396;1;1;1;1;1;1;916
0;0;458;433;493;1;1;1;1;1;1;916
1;0;902;687;578;1;1;1;1;1;1;934
1;0;772;835;528;1;1;1;1;1;1;968
0;0;885;528;190;1;1;1;1;1;1;1046
1;0;100;501;562;1;1;1;1;1;1;940
1;0;922;745;551;1;1;1;1;1;1;1060
1;0;135;581;134;1;1;1;1;1;1;1060
1;0;342;870;599;1;1;1;1;1;1;960
0;0;445;833;635;1;1;1;1;1;1;1058
1;0;571;760;356;1;1;1;1;1;1;948
0;0;719;608;803;1;1;1;1;1;1;1077
1;0;917;352;432;1;1;1;1;1;1;997
1;0;593;750;614;1;1;1;1;1;1;1124
0;0;920;337;788;1;1;1;1;1;1;1276
1;0;960;425;682;1;1;1;1;1;1;1276
1;0;729;754;262;1;1;1;1;1;1;1230
2;0;299;493;604;1;1;1;1;1;1;5191
0;0;978;147;168;1;1;1;1;1;1;1156
0;0;347;198;450;1;1;1;1;1;1;1176
1;0;152;688;121;1;1;1;1;1;1;1176
1;0;115;883;186;1;1;1;1;1;1;1176
1;0;290;381;852;1;1;1;1;1;1;1269
2;0;160;727;348;1;1;1;1;1;1;5191
0;0;655;756;958;1;1;1;1;1;1;1052
0;0;754;856;972;1;1;1;1;1;1;1099
1;0;383;598;606;1;1;1;1;1;1;1147
0;0;229;480;165;1;1;1;1;1;1;1147
1;0;118;727;250;1;1;1;1;1;1;1163
1;0;553;698;708;1;1;1;1;1;1;1175
0;0;397;729;940;1;1;1;1;1;1;1175
0;0;847;437;723;1;1;1;1;1;1;1230
0;0;129;659;412;1;1;1;1;1;1;1230
0;0;382;667;924;1;1;1;1;1;1;1230
2;0;352;443;992;1;1;1;1;1;1;5539
1;0;644;873;409;1;1;1;1;1;1;1236
2;0;794;828;766;1;1;1;1;1;1;5836
0;0;154;737;990;1;1;1;1;1;1;1248
2;0;300;927;385;1;1;1;1;1;1;6186
2;0;775;688;609;1;1;1;1;1;1;6602
1;0;154;850;300;1;1;1;1;1;1;1198
1;0;175;753;544;1;1;1;1;1;1;1198
1;0;852;637;334;1;1;1;1;1;1;1288
0;0;234;851;377;1;1;1;1;1;1;1246
1;0;879;724;253;1;1;1;1;1;1;1334
1;0;852;900;458;1;1;1;1;1;1;1498
0;0;822;549;109;1;1;1;1;1;1;1383
1;0;841;532;134;1;1;1;1;1;1;1383
2;0;442;618;738;1;1;1;1;1;1;6602
0;0;448;669;468;1;1;1;1;1;1;1473
2;0;163;338;901;1;1;1;1;1;1;6602
2;0;618;235;593;1;1;1;1;1;1;6311
2;0;473;875;242;1;1;1;1;1;1;6440
2;0;622;961;424;1;1;1;1;1;1;6682
2;0;219;386;227;1;1;1;1;1;1;6904
1;0;834;631;547;1;1;1;1;1;1;1418
1;0;671;625;895;1;1;1;1;1;1;1423
1;0;636;901;265;1;1;1;1;1;1;1416
0;0;655;615;104;1;1;1;1;1;1;1446
0;0;183;982;908;1;1;1;1;1;1;1303
0;0;221;662;721;1;1;1;1;1;1;1338
1;0;729;231;840;1;1;1;1;1;1;7106
2;0;753;566;166;1;1;1;1;1;1;7946
2;0;677;639;819;1;1;1;1;1;1;7946
2;0;884;752;151;1;1;1;1;1;1;8765
0;0;755;850;765;1;1;1;1;1;1;1325
0;0;190;232;540;1;1;1;1;1;1;1331
0;0;129;851;343;1;1;1;1;1;1;1473
2;0;461;590;170;1;1;1;1;1;1;8765
0;0;319;473;395;1;1;1;1;1;1;1300
1;0;567;228;824;1;1;1;1;1;1;1325
1;0;370;417;859;1;1;1;1;1;1;8916
2;0;481;513;872;1;1;1;1;1;1;8916
1;0;512;171;531;1;1;1;1;1;1;1300
0;0;120;530;777;1;1;1;1;1;1;1354
1;0;731;462;498;1;1;1;1;1;1;1376
2;0;724;874;528;1;1;1;1;1;1;9775
0;0;167;149;303;1;1;1;1;1;1;1354
0;0;626;902;151;1;1;1;1;1;1;1428
1;0;890;757;873;1;1;1;1;1;1;1470
1;0;395;906;629;1;1;1;1;1;1;1513
0;0;220;547;715;1;1;1;1;1;1;1513
0;0;385;798;870;1;1;1;1;1;1;1579
1;0;765;396;937;1;1;1;1;1;1;1542
0;0;463;658;748;1;1;1;1;1;1;1542
0;0;634;883;951;1;1;1;1;1;1;1504
2;0;921;430;990;1;1;1;1;1;1;10303
2;0;309;710;852;1;1;1;1;1;1;10303
1;0;435;261;835;1;1;1;1;1;1;1515
1;0;525;378;254;1;1;1;1;1;1;1534
1;0;418;987;989;1;1;1;1;1;1;1539
1;0;942;382;803;1;1;1;1;1;1;1534
2;0;906;453;868;1;1;1;1;1;1;11293
2;0;253;395;656;1;1;1;1;1;1;11293
0;0;831;335;237;1;1;1;1;1;1;1604
0;0;248;262;477;1;1;1;1;1;1;1604
0;0;447;194;654;1;1;1;1;1;1;1568
0;0;231;967;319;1;1;1;1;1;1;1640
0;0;478;259;856;1;1;1;1;1;1;1568
1;0;119;354;658;1;1;1;1;1;1;1640
1;0;623;987;940;1;1;1;1;1;1;1720
0;0;216;642;590;1;1;1;1;1;1;1749
1;0;952;697;941;1;1;1;1;1;1;12161
0;0;329;249;490;1;1;1;1;1;1;1711
1;0;134;638;953;1;1;1;1;1;1;12161
0;0;248;904;884;1;1;1;1;1;1;1793
0;0;533;499;811;1;1;1;1;1;1;1845
1;0;411;621;697;1;1;1;1;1;1;1842
0;0;140;452;897;1;1;1;1;1;1;1847
2;0;536;715;713;1;1;1;1;1;1;13102
0;0;113;453;391;1;1;1;1;1;1;1769
0;0;949;514;627;1;1;1;1;1;1;1807
1;0;638;652;289;1;1;1;1;1;1;1759
0;0;400;607;368;1;1;1;1;1;1;1845
0;0;552;586;138;1;1;1;1;1;1;1845
1;0;341;255;846;1;1;1;1;1;1;1767
0;0;529;117;400;1;1;1;1;1;1;1767
1;0;319;468;651;1;1;1;1;1;1;1856
2;0;551;139;271;1;1;1;1;1;1;12395
0;0;161;758;890;1;1;1;1;1;1;1806
2;0;584;467;793;1;1;1;1;1;1;12666
2;0;936;577;430;1;1;1;1;1;1;13459
0;0;118;314;854;1;1;1;1;1;1;1725
2;0;705;552;867;1;1;1;1;1;1;13889
1;0;276;227;399;1;1;1;1;1;1;1814
1;0;992;971;297;1;1;1;1;1;1;1836
2;0;968;801;919;1;1;1;1;1;1;14756
2;0;537;151;120;1;1;1;1;1;1;15675
1;0;351;196;902;1;1;1;1;1;1;15675
2;0;742;995;337;1;1;1;1;1;1;15795
0;0;963;878;529;1;1;1;1;1;1;1860
0;0;399;173;475;1;1;1;1;1;1;1861
2;0;774;884;988;1;1;1;1;1;1;16132
0;0;722;879;629;1;1;1;1;1;1;1961
1;0;331;157;686;1;1;1;1;1;1;1860
0;0;530;334;382;1;1;1;1;1;1;1964
1;0;418;967;876;1;1;1;1;1;1;1872
1;0;365;203;911;1;1;1;1;1;1;1872
2;0;778;603;896;1;1;1;1;1;1;17120
0;0;223;830;191;1;1;1;1;1;1;1912
0;10;692;793;1153;2;0;4;3;1;4;0
0;65;731;734;1935;2;0;4;3;1;4;0
1;164;1429;674;1677;2;0;4;3;1;4;0
0;177;1374;776;1423;2;0;4;3;1;4;0
0;211;792;1344;1073;2;0;4;3;1;4;0
0;221;678;1361;1538;2;0;4;3;1;4;0
2;271;902;1324;1767;2;0;4;3;1;4;0
2;293;1500;733;1968;2;0;4;3;1;4;0
2;294;522;614;1645;2;0;4;3;1;4;0
1;391;925;1056;1036;2;0;4;3;1;4;0
1;429;510;1282;1668;2;0;4;3;1;4;0
0;498;1274;793;1378;2;0;4;3;1;4;0
1;515;1296;964;1559;2;0;4;3;1;4;0
1;588;868;707;1278;2;0;4;3;1;4;0
1;625;797;1266;1677;2;0;4;3;1;4;0
2;684;1377;1220;1841;2;0;4;3;1;4;0
1;748;644;780;1931;2;0;4;3;1;4;0
1;823;790;552;1583;2;0;4;3;1;4;0
2;892;1280;1461;1603;2;0;4;3;1;4;0
2;907;662;860;1417;2;0;4;3;1;4;0
1;934;586;879;1360;2;0;4;3;1;4;0
2;952;572;1307;1858;2;0;4;3;1;4;0
2;1043;691;1267;1101;2;0;4;3;1;4;0
2;1097;934;1397;1144;2;0;4;3;1;4;0
2;1149;751;1119;1064;2;0;4;3;1;4;0
0;1190;1478;889;1710;2;0;4;3;1;4;0
1;1268;855;1191;1248;2;0;4;3;1;4;0
0;1359;1034;634;1285;2;0;4;3;1;4;0
1;1397;709;538;1459;2;0;4;3;1;4;0
0;1398;516;895;1352;2;0;4;3;1;4;0
1;1459;1405;1052;1849;2;0;4;3;1;4;0
2;1536;1462;773;1565;2;0;4;3;1;4;0
2;1569;746;968;1692;2;0;4;3;1;4;0
0;1587;536;1429;1282;2;0;4;3;1;4;0
1;1634;752;640;1874;2;0;4;3;1;4;0
1;1695;1067;1099;1598;2;0;4;3;1;4;0
2;1704;690;1270;1795;2;0;4;3;1;4;0
1;1707;1273;674;1016;2;0;4;3;1;4;0
2;1803;1340;1453;1652;2;0;4;3;1;4;0
0;1825;1248;1478;1075;2;0;4;3;1;4;0
2;1861;752;1293;1462;2;0;4;3;1;4;0
1;1889;722;860;1038;2;0;4;3;1;4;0
1;1960;946;834;1622;2;0;4;3;1;4;0
0;1973;1388;1104;1290;2;0;4;3;1;4;0
0;2055;563;846;1614;2;0;4;3;1;4;0
